WARNING: proceeding, even though we could not update PATH: Operation not permitted (os error 1)
2026-03-25T02:23:18.395851Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:18.396090Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:18.532970Z ERROR codex_core::models_manager::manager: failed to renew cache TTL: Operation not permitted (os error 1)
2026-03-25T02:23:18.687273Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:22.002090Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.507365Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.507394Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.517878Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.529815Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.540036Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.550060Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.550161Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.550271Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.550349Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.561852Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.572080Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:25.651042Z ERROR codex_core::models_manager::manager: failed to renew cache TTL: Operation not permitted (os error 1)
2026-03-25T02:23:27.965341Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.783602Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.783624Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.792763Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.824882Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.834054Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.868422Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.868513Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.868588Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.868651Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:30.939050Z ERROR codex_core::models_manager::manager: failed to renew cache TTL: Operation not permitted (os error 1)
2026-03-25T02:23:44.088565Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:53.743089Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:53.743113Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:53.875239Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
2026-03-25T02:23:53.882402Z ERROR codex_core::codex: failed to record rollout items: failed to queue rollout items: channel closed
